"section","Frequency rank","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss EN","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","meaning fixed","Qal=1 EN","Nifal=2 EN","Piel=3 EN","Pual=4 EN","Hitpael=5 EN","Hifil=6 EN","Hofal=7 EN","Hishtafal=8 EN","Passive qal=9 EN","Etpaal=10 EN","Nitpael=11 EN","Hotpaal=12 EN","Tifal=13 EN","Hitpoal=14 EN","Poal=15 EN","Poel=16 EN"
,5932,1,78,">BR[","אבר ","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","hif","fly, soar up",,,,,,"hi: fly, soar up;","qal: 0; qal pass: 0; ni: 0; pi: 0; pu: 0; hit: 0; hi: fly, soar up; ho: 0; hst: 0; etp: 0; nitp: 0; hotpa: 0; tif: 0; hitpo: 0; poa: 0; poe: 0.","no decision",0,0,0,0,0,"fly, soar up",0,0,0,0,0,0,0,0,0,0
,3515,4,79,">BRH/","אֶבְרָה ",,,,,", , , ",,"subs",,"wing",,,,,"wing","wing",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sec1102",269,175,80,">BRHM/","אַבְרָהָם ",,,,,", , , ",,"nmpr",,"Abraham",,,"Mitchel_Sec2.D (269-220)",,"Abraham","Abraham",,"done",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5933,1,81,">BRK","אַבְרֵךְ ",,,,,", , , ",,"intj",,"<uncertain>",,,,,"(uncertain)","(uncertain)",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,615,61,82,">BRM/","אַבְרָם ",,,,,", , , ",,"nmpr",,"Abram",,,"Mitchel_Sec4.D (78-75)",,"Abram","Abram",,"done",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1241,25,83,">BCJ/","אַבְשַׁי ",,,,,", , , ",,"nmpr",,"Abishai",,,"Mitchel_Sec5.M (26-25)",,"Abishai","Abishai",,"done",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sec1601",397,109,84,">BCLWM/","אַבְשָׁלֹום ",,,,,", , , ",,"nmpr",,"Absalom",,,"Mitchel_Sec3.G (111-100)",,"Absalom","Absalom",,"done",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3516,4,85,">BT/","אֹבֹת ",,,,,", , , ",,"nmpr",,"Oboth",,,,,"Oboth","Oboth",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5970,1,86,">G>/","אָגֵא ",,,,,", , , ",,"nmpr",,"Agee",,,,,"Agee","Agee",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2498,8,87,">GG/","אֲגַג ",,,,,", , , ",,"nmpr",,"Agag",,,,,"Agag","Agag",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3165,5,88,">GGJ/","אֲגָגִי ",,,,,", , , ",,"adjv",,"Agagite",,,,,"Agagite","Agagite",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3519,4,89,">GDH/","אֲגֻדָּה ",,,,,", , , ",,"subs",,"band, bunch; vault?",,,,,"band, bunch; vault?","band, bunch; vault?",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5976,1,90,">GWZ/","אֱגֹוז ",,,,,", , , ",,"subs",,"nut",,,,,"nut","nut",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5974,1,91,">GWR/","אָגוּר ",,,,,", , , ",,"nmpr",,"Agur",,,,,"Agur","Agur",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5975,1,92,">GWRH/","אֲגֹורָה ",,,,,", , , ",,"subs",,"payment",,,,,"payment","payment",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5971,1,93,">GL/","אֵגֶל ",,,,,", , , ",,"subs",,"drop",,,,,"drop","drop",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5972,1,94,">GLJM/","אֶגְלַיִם ",,,,,", , , ",,"nmpr",,"Eglaim",,,,,"Eglaim","Eglaim",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2350,9,95,">GM/","אֲגַם I",,,,,", , , ",,"subs",,"reedy pool",,,,,"reedy pool","reedy pool",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5973,1,96,">GM=/","אָגֵם II",,,,,", , , ",,"adjv",,"sad",,,,,"sad","sad",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3166,5,97,">GMWN/","אַגְמֹון ",,,,,", , , ",,"subs",,"rush",,,,,"rush","rush",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3991,3,98,">GN/","אַגָּן ",,,,,", , , ",,"subs",,"bowl",,,,,"bowl","bowl",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2687,7,99,">GP/","אֲגַף ",,,,,", , , ",,"subs",,"troop",,,,,"troop","troop",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
