"section","Frequency rank","Occurrences","absolut alphabetic order","Lexeme in lexicon","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","Part of speech","Verbal stems","Current EN glosses","Current PT glosses","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss EN","Mitchel non-verb gloss PT","New glosses (verbs:prioritized displayed meaning of verbs) without excel formula (ready for export) EN","New glosses (verbs:prioritized displayed meaning of verbs) without excel formula (ready for export) PT","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula PT","meaning fixed","Qal=1 EN","Qal=1 PT","Nifal=2 EN","Nifal=2 PT","Piel=3 EN","Piel=3 PT","Pual=4 EN","Pual=4 PT","Hitpael=5 EN","Hitpael=5 PT","Hifil=6 EN","Hifil=6 PT","Hofal=7 EN","Hofal=7 PT","Hishtafal=8 EN","Hishtafal=8 PT","Passive qal EN","Passive qal PT","Hotpaal","Etpaal","Nitpael","Tifal"
"sec0414",89,579,3852,"M>H/","מֵאָה",,,,,"subs",,"hundred",,,,"Mitchel_Sec1.D (729-500)",,"hundred; (du) two hundred","cem, centena","hundred; two hundred (du)","cem, centena","hundred; two hundred (du)",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0411",90,577,3429,"KH","כֹּה",,,,,"advb",,"thus, here, now",,,,"Mitchel_Sec1.D (729-500)",,"thus, so","assim, aqui, alí, isso","thus, so","assim, aqui, alí, isso","thus, so",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0415",91,573,3974,"MH","מָה",,,,,"prin",,"what",,,,"Mitchel_Sec1.C (999-730)",,"what?, how?","que? Como?","what (interr), how (interr)","que? Como?","what (interr), how (interr)",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0407",92,558,1924,"HR/","הַר",,,,,"subs",,"mountain, mountainous region",,,,"Mitchel_Sec1.D (729-500)",,"mountain, range","monte","mountain, mountain range","monte","mountain, mountain range",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0405",93,555,1397,"GWJ/","גֹּוי",,,,,"subs",,"people, nation","povo",,,"Mitchel_Sec1.D (729-500)",,,,"people, nation","povo","people, nation",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0401",94,553,116,">DM/","אָדָם",,,,,"subs",,"human being, humanity",,,,"Mitchel_Sec1.D (729-500)",,"man","homem","man","homem","man",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0412",95,550,3533,"KN","כֵּן",,,,,"advb",,"so, thus",,,,"Mitchel_Sec1.D (729-500)",,"(adv, adj, n) rightly, upright, right; (adv) thus, so","reto, honrado","thus, so","reto, honrado","thus, so",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0419",96,548,5538,"<BR[","עבר","i-guttural",,,,"verb","hif nif piel qal","pass by, pass through, cross; transgress",,,,"Mitchel_Sec1.D (729-500)",,,,"qal: pass over, transgress;","qal: passar, atravessar; ","qal: pass over, transgress; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: passar, atravessar; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","pass over, transgress","passar, atravessar",,,,,,,,,,,,,,,,,,,,
"sec0404",97,525,1345,"GDWL/","גָּדֹול",,,,,"adjv",,"great","grande",,,"Mitchel_Sec1.D (729-500)",,,,"great","grande","great",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0420",98,521,5840,"<MD[","עמד","i-guttural",,,,"verb","hif hof qal","take a stand, stand; stop",,,,"Mitchel_Sec1.D (729-500)",,,,"qal: take a stand, stand; stop;","qal: estar, ficar; ","qal: take a stand, stand; stop; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: estar, ficar; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","take a stand, stand; stop","estar, ficar",,,,,,,,,,,,,,,,,,,,
"sec0409",99,506,2466,"XMC/","חָמֵשׁ",,,,,"subs",,"five","cinco",,,"Mitchel_Sec2.A (499-400)",,,,"five","cinco","five",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0519",100,505,6853,"QWL/","קֹול",,,,,"subs",,"sound, voice, call","voz, som",,,"Mitchel_Sec2.A (499-400)",,,,"sound, voice, call","voz, som","sound, voice, call",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0425",101,505,8334,"TXT/","תַּחַת",,,,,"subs",,"under part; under; instead of",,,,"Mitchel_Sec2.A (499-400)",,"(prep) beneath, under; instead of","sob, abaixo","beneath, under; instead of","sob, abaixo","beneath, under; instead of",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0510",102,500,5094,"NKH[","נכה","i-nun",,"iii-hey",,"verb","hif hof nif pual","be smitten",,,,"Mitchel_Sec1.D (729-500)",,,,"hi: smite; ni: be hit;","hi: golpear; ni: ser ferido; ","hi: smite; qal: ; ni: be hit; pi: ; pu: ; hit: ; ho: ; hst: ","hi: golpear; qal: ; ni: ser ferido; pi: ; pu: ; hit: ; ho: ; hst: ","H=6",,,"be hit","ser ferido",,,,,,,"smite","golpear",,,,,,,,,,
"sec0515",103,498,6191,"PH/","פֶּה",,,,,"subs",,"mouth, opening; portion","boca",,,"Mitchel_Sec2.A (499-400)",,,,"mouth, opening; portion","boca","mouth, opening; portion",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0517",104,494,6556,"YWH[","צוה",,,"iii-hey",,"verb","piel pual","summon, order",,,,"Mitchel_Sec2.A (499-400)",,,,"pi: command;","pi: ordenar, mandar; ","pi: command; qal: ; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ","pi: ordenar, mandar; qal: ; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ","P=3",,,,,"command","ordenar, mandar",,,,,,,,,,,,,,,,
"sec0502",105,492,489,">LP=/","אֶלֶף",,,,,"subs",,"thousand","mil",,,"Mitchel_Sec2.A (499-400)",,,,"thousand","mil","thousand",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0506",106,492,3100,"JLD[","ילד","i-waw",,,,"verb","hif hit hof nif pasq piel pual qal","bear, bring forth; beget",,,,"Mitchel_Sec2.A (499-400)",,,,"qal: bear, bring forth; beget;","qal: gerar, dar à luz; ","qal: bear, bring forth; beget; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: gerar, dar à luz; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","bear, bring forth; beget","gerar, dar à luz",,,,,,,,,,,,,,,,,,,,
"sec0512",107,490,5623,"<WD/","עֹוד",,,,,"subs",,"duration; still, once more, besides",,,,"Mitchel_Sec2.A (499-400)",,"yet, still, again","rebanho","yet, still, again","rebanho","yet, still, again",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0521",108,490,7534,"CB</","שֶׁבַע",,,,,"subs",,"seven","sete",,,"Mitchel_Sec2.A (499-400)",,,,"seven","sete","seven",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0504",109,485,1864,"HJ>","הִיא",,,,,"prps",,"she","ela",,,"Mitchel_Sec1.D (729-500)",,,,"she","ela","she",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0516",110,485,6511,"YB>/","צָבָא",,,,,"subs",,"host; service","hoste, exército",,,"Mitchel_Sec2.A (499-400)",,,,"host; service","hoste, exército","host; service",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0505",111,469,2802,"VWB/","טֹוב",,,,,"adjv",,"good, pleasant",,,,"Mitchel_Sec1.D (729-500)",,"(v) be good; (adj) good; (n) goodness","bom","good (adj); goodness (n)","bom","good (adj); goodness (n)",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0518",112,469,6834,"QDC/","קֹדֶשׁ",,,,,"subs",,"holiness, something holy",,,,"Mitchel_Sec2.A (499-400)",,"(adj, n) holy (thing)","santidade","holy (thing)","santidade","holy (thing)",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0523",113,468,7968,"CMR[","שׁמר",,,,,"verb","hit nif piel qal","keep, guard, preserve",,,,"Mitchel_Sec2.A (499-400)",,,,"qal: keep watch, guard;","qal: guardar, conservar; ","qal: keep watch, guard; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: guardar, conservar; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","keep watch, guard","guardar, conservar",,,,,,,,,,,,,,,,,,,,
"sec0503",114,454,679,">RB</","אַרְבַּע",,,,,"subs",,"four","quatro",,,"Mitchel_Sec2.A (499-400)",,,,"four","quatro","four",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0508",115,453,4549,"MY>[","מצא",,,"iii-aleph",,"verb","hif nif qal","find, attain to",,,,"Mitchel_Sec2.A (499-400)",,,,"qal: find; hi: present;","qal: encontrar, achar; hi: presente; ","qal: find; ni: ; pi: ; pu: ; hit: ; hi: present; ho: ; hst: ","qal: encontrar, achar; ni: ; pi: ; pu: ; hit: ; hi: presente; ho: ; hst: ","Q=1","find","encontrar, achar",,,,,,,,,"present","presente",,,,,,,,,,
"sec0501",116,438,131,">DNJ/","אֲדֹנָי",,,,,"nmpr",,"the LORD","SENHOR","זוֹכ",,"Mitchel_Sec1.C (999-730)",,,,"Lord","SENHOR","Lord",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0513",117,438,5640,"<WLM/","עֹולָם",,,,,"subs",,"ancient time; long time, eternity; forever",,,,"Mitchel_Sec2.A (499-400)",,"remote time; forever, eternity","eternidade","ancient time, remote time; long time, forever, eternity","eternidade","ancient time, remote time; long time, forever, eternity",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0511",118,434,5173,"NPL[","נפל","i-nun",,,,"verb","hif hit piel qal","fall, lie",,,,"Mitchel_Sec2.A (499-400)",,,,"qal: fall, lie;","qal: vir abaixo; ","qal: fall, lie; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: vir abaixo; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","fall, lie","vir abaixo",,,,,,,,,,,,,,,,,,,,
"sec0514",119,433,6136,"<TH","עַתָּה",,,,,"advb",,"now","agora",,,"Mitchel_Sec2.A (499-400)",,,,"now","agora","now",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0520",120,429,7118,"RB/","רַב",,,,,"adjv",,"much, many; great; enough",,,,"Mitchel_Sec2.A (499-400)",,"much, many (adj); captain, chief (ctxt)","muito, grande, enorme","much, many (adj); captain, chief (ctxt)","muito, grande, enorme","much, many (adj); captain, chief (ctxt)",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0507",121,423,4178,"MJ","מִי",,,,,"prin",,"who","quem",,,"Mitchel_Sec2.A (499-400)",,,,"who (interr)","quem","who (interr)",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0509",122,422,4824,"MCPV/","מִשְׁפָּט",,,,,"subs",,"judgement, decision, case, order",,,,"Mitchel_Sec2.A (499-400)",,"judgment; custom, justice","julgamento, causa","judgment, justice; decision, custom","julgamento, causa","judgment, justice; decision, custom",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0522",123,421,7928,"CMJM/","שָׁמַיִם",,,,,"subs",,"heaven",,,,"Mitchel_Sec2.A (499-400)",,"heavans; sky","céus","heaven; sky","céus","heaven; sky",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0524",124,421,8138,"FR/","שַׂר",,,,,"subs",,"leader; official",,,,"Mitchel_Sec2.A (499-400)",,"official, leader, prince","príncipe","official, leader, prince","príncipe","official, leader, prince",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0525",125,418,8291,"TWK/","תָּוֶךְ",,,,,"subs",,"midst",,,,"Mitchel_Sec2.A (499-400)",,"midst, middle","centro, meio","midst, middle","centro, meio","midst, middle",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0610",126,412,2616,"XRB/","חֶרֶב",,,,,"subs",,"sword, dagger","espada",,,"Mitchel_Sec2.A (499-400)",,,,"sword, dagger","espada","sword, dagger",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0606",127,407,950,"BJN/","בַּיִן",,,,,"subs",,"distance; between","XXX",,,"Mitchel_Sec2.B (399-310)",,"between (prep); interval (n)",,"between (prep); interval (n)","XXX","between (prep); interval (n)",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0624",128,406,7468,"C>WL=/","שָׁאוּל",,,,,"nmpr",,"Saul <the king>; Shaul",,,,"Mitchel_Sec2.A (499-400)",,"Saul","Saul","Saul","Saul","Saul",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0618",129,404,4873,"N>","נָא",,,,,"intj",,"now",,,,"Mitchel_Sec2.A (499-400)",,"(particle of entry) pray, now; please","te peço, por favor","now; please; pray (particle giving emphasis)","te peço, por favor","now; please; pray (particle giving emphasis)",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0614",130,403,3583,"KSP/","כֶּסֶף",,,,,"subs",,"silver, money","prata, dinheiro",,,"Mitchel_Sec2.B (399-310)",,,,"silver, money","prata, dinheiro","silver, money",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0615",131,401,4061,"MZBX/","מִזְבֵּחַ",,,,,"subs",,"altar","altar",,,"Mitchel_Sec2.A (499-400)",,,,"altar","altar","altar",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0617",132,401,4603,"MQWM/","מָקֹום",,,,,"subs",,"standing-place, place, region",,,,"Mitchel_Sec2.B (399-310)",,"place","lugar","place","lugar","place",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0611",133,396,3114,"JM/","יָם",,,,,"subs",,"sea; west; river",,,,"Mitchel_Sec2.B (399-310)",,"sea; west","mar","sea; west","mar","sea; west",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0609",134,389,1993,"ZHB/","זָהָב",,,,,"subs",,"gold","ouro",,,"Mitchel_Sec2.B (399-310)",,,,"gold","ouro","gold",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0613",135,379,3266,"JRD[","ירד","i-waw","ii-guttural",,,"verb","hif hof qal","go down, descend",,,,"Mitchel_Sec2.B (399-310)",,,,"qal: go down, descend;","qal: descer, baixar; ","qal: go down, descend; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: descer, baixar; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","go down, descend","descer, baixar",,,,,,,,,,,,,,,,,,,,
"sec0605",136,378,752,">C/","אֵשׁ",,,,,"subs",,"fire","fogo",,,"Mitchel_Sec2.B (399-310)",,,,"fire","fogo","fire",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0622",137,378,7186,"RWX/","רוּחַ",,,,,"subs",,"breath, wind, spirit","vento",,,"Mitchel_Sec2.B (399-310)",,,,"breath, wind, spirit","vento","breath, wind, spirit",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0607",138,376,1076,"BNH[","בנה",,,"iii-hey",,"verb","nif qal","build",,,,"Mitchel_Sec2.B (399-310)",,,,"qal: build;","qal: construir; ","qal: build; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: construir; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","build","construir",,,,,,,,,,,,,,,,,,,,
"sec0619",139,376,4881,"N>M/","נְאֻם",,,,,"subs",,"utterance",,,,"Mitchel_Sec2.B (399-310)",,"utterance, declaration","oráculo","utterance, declaration","oráculo","utterance, declaration",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0625",140,374,8046,"C<R/","שַׁעַר",,,,,"subs",,"gate","portão",,,"Mitchel_Sec2.B (399-310)",,,,"gate","portão","gate",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0620",141,370,4924,"NGD[","נגד","i-nun",,,,"verb","hif hof","make known, tell, report",,,,"Mitchel_Sec2.B (399-310)",,,,"hi: make known, tell, report;","hi: XXX; ","hi: make known, tell, report; qal: ; ni: ; pi: ; pu: ; hit: ; ho: ; hst: ","hi: XXX; qal: ; ni: ; pi: ; pu: ; hit: ; ho: ; hst: ","H=6",,,,,,,,,,,"make known, tell, report","XXX",,,,,,,,,,
"sec0608",142,360,1733,"DM/","דָּם",,,,,"subs",,"blood","sangue",,,"Mitchel_Sec2.B (399-310)",,,,"blood","sangue","blood",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0604",143,359,578,">NKJ","אָנֹכִי",,,,,"prps",,"I","Eu",,,"Mitchel_Sec1.B (2199-1000)",,,,"I","Eu","I",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0612",144,349,3179,"J<QB/","יַעֲקֹב",,,,,"nmpr",,"Jacob","Jacó",,,"Mitchel_Sec2.B (399-310)",,,,"Jacob","Jacó","Jacob",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0623",145,348,7331,"R</","רַע",,,,,"adjv",,"bad, evil, harmful","mal, maldade, desgraça",,,"Mitchel_Sec1.D (729-500)",,,,"bad, evil, harmful","mal, maldade, desgraça","bad, evil, harmful",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0603",146,347,170,">HRWN/","אַהֲרֹון",,,,,"nmpr",,"Aaron","Aarão",,,"Mitchel_Sec2.B (399-310)",,,,"Aaron","Aarão","Aaron",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0616",147,347,4290,"MLK[","מלך",,,,"regular","verb","hif hof qal","be, become king, reign",,,,"Mitchel_Sec2.B (399-310)",,,,"qal: reign, be king;","qal: ser rei; ","qal: reign, be king; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: ser rei; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","reign, be king","ser rei",,,,,,,,,,,,,,,,,,,,
"sec0602",148,345,160,">HL/","אֹהֶל",,,,,"subs",,"tent","tenda",,,"Mitchel_Sec2.B (399-310)",,,,"tent","tenda","tent",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0621",149,336,5295,"SBJB/","סָבִיב",,,,,"subs",,"surrounding; round about",,,,"Mitchel_Sec2.B (399-310)",,"circuit (n); all around, round about, surrounding (adv)","ao redor, em torno","circuit, surrounding (n); all around, round about, surrounding (adv)","ao redor, em torno","circuit, surrounding (n); all around, round about, surrounding (adv)",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0601",150,335,110,">DWN/","אָדֹון",,,,,"subs",,"lord",,,,"Mitchel_Sec1.C (999-730)",,"lord, master","Senhor, mestre","lord, master","Senhor, mestre","lord, master",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0706",151,332,3257,"JR>[","ירא","i-waw","ii-guttural","iii-aleph",,"verb","nif piel qal","fear, be afraid",,,,"Mitchel_Sec2.B (399-310)",,,,"qal: fear, be afraid;","qal: temer, assustar-se; ","qal: fear, be afraid; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: temer, assustar-se; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","fear, be afraid","temer, assustar-se",,,,,,,,,,,,,,,,,,,,
"sec0718",152,330,5955,"<Y/","עֵץ",,,,,"subs",,"tree, trees; wood, piece of wood",,,,"Mitchel_Sec2.B (399-310)",,"tree","árvore","tree; wood","árvore","tree; wood",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0702",153,327,1225,"BRK[","ברך",,"ii-guttural",,,"verb","hit nif piel pual qal","bless",,,,"Mitchel_Sec2.B (399-310)",,,,"qal: bless;","qal: bendito; ","qal: bless; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: bendito; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","bless","bendito",,,,,,,,,,,,,,,,,,,,
"sec0707",154,325,3508,"KLJ/","כְּלִי",,,,,"subs",,"article, utenstil, vessel",,,,"Mitchel_Sec2.B (399-310)",,"vessel, utensil","recipiente, vasilha","vessel, utensil","recipiente, vasilha","vessel, utensil",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0701",155,320,171,">W","אֹו",,,,,"conj",,"or, or even","ou, ou então",,,"Mitchel_Sec2.B (399-310)",,,,"or, or even","ou, ou então","or, or even",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0724",156,320,7580,"FDH/","שָׂדֶה",,,,,"subs",,"open field","campo",,,"Mitchel_Sec2.B (399-310)",,,,"open field","campo","open field",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0712",157,318,4281,"MLXMH/","מִלְחָמָה",,,,,"subs",,"battle, war","batalha, guerra",,,"Mitchel_Sec2.B (399-310)",,,,"battle, war","batalha, guerra","battle, war",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0717",158,316,5894,"<NH[","ענה","i-guttural",,"iii-hey",,"verb","hif nif qal","answer, react; testify",,,,"Mitchel_Sec2.B (399-310)",,,,"qal: answer;","qal: responder; ","qal: answer; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: responder; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","answer","responder",,,,,,,,,,,,,,,,,,,,
"sec0714",159,315,4908,"NBJ>/","נָבִיא",,,,,"subs",,"prophet","profeta",,,"Mitchel_Sec2.B (399-310)",,,,"prophet","profeta","prophet",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0719",160,315,6119,"<FRJM/","עֶשְׂרִים",,,,,"subs",,"twenty; twentieth","vinte",,,"Mitchel_Sec1.C (999-730)",,,,"twenty; twentieth","vinte","twenty; twentieth",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0723",161,313,7344,"R<H/","רָעָה",,,,,"subs",,"evil, badness; misery","dor, doença, desgraça",,,"Mitchel_Sec1.D (729-500)",,,,"evil, badness; misery","dor, doença, desgraça","evil, badness; misery",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0713",162,303,4822,"MCPXH/","מִשְׁפָּחָה",,,,,"subs",,"clan",,,,"Mitchel_Sec2.C (309-270)",,"(extended) family; clan","clã","(extended) family; clan","clã","(extended) family; clan",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0722",163,303,6365,"PQD[","פקד",,,,"regular","verb","hif hit hof hotp nif piel pual qal","visit; take care of; miss; muster; appoint",,,,"Mitchel_Sec2.C (309-270)",,,,"qal: visit; take care of; muster; appoint;","qal: visitar, cuidar, proteger; ","qal: visit; take care of; muster; appoint; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: visitar, cuidar, proteger; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","visit; take care of; muster; appoint","visitar, cuidar, proteger",,,,,,,,,,,,,,,,,,,,
"sec0711",164,300,3851,"M>D/","מְאֹד",,,,,"subs",,"force, might; very",,,,"Mitchel_Sec2.C (309-270)",,"force, might (n); very, exceedingly (adv)","força, vigor, poder","force, might (n); very, exceedingly (adv)","força, vigor, poder","force, might (n); very, exceedingly (adv)",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0710",165,298,3778,"LXM/","לֶחֶם",,,,,"subs",,"bread, food","pão",,,"Mitchel_Sec2.C (309-270)",,,,"bread, food","pão","bread, food",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0715",166,297,5342,"SWR[","סור",,,,"ii-waw","verb","hif hof piel qal","turn aside, depart",,,,"Mitchel_Sec2.C (309-270)",,,,"hi: take away, remove; qal: turn aside;","hi: separar, remover; qal: apartar-se; ","hi: take away, remove; qal: turn aside; ni: ; pi: ; pu: ; hit: ; ho: ; hst: ","hi: separar, remover; qal: apartar-se; ni: ; pi: ; pu: ; hit: ; ho: ; hst: ","H=6","turn aside","apartar-se",,,,,,,,,"take away, remove","separar, remover",,,,,,,,,,
"sec0720",167,297,6134,"<T/","עֵת",,,,,"subs",,"time, point in time, period",,,,"Mitchel_Sec2.C (309-270)",,"time","tempo","time","tempo","time",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0705",168,293,2299,"XV>T/","חַטָּאת",,,,,"subs",,"sin, sin-offering",,,,"Mitchel_Sec2.C (309-270)",,"sin, sin-offering, expiation","sacrifício","sin, sin-offering, expiation","sacrifício","sin, sin-offering, expiation",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0725",169,293,7875,"CLMH=/","שְׁלֹמֹה",,,,,"nmpr",,"Solomon","Salomão",,,"Mitchel_Sec2.C (309-270)",,,,"Solomon","Salomão","Solomon",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0709",170,292,3757,"LWJ/","לֵוִי",,,,,"adjv",,"Levite",,,,"Mitchel_Sec2.B (399-310)",,"Levi","levita","Levi","levita","Levi",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0703",171,291,1896,"HMH","הֵמָּה",,,,,"prps",,"they","eles",,,"Mitchel_Sec1.B (2199-1000)",,,,"they","eles","they",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0704",172,290,2282,"XZQ[","חזק","i-guttural",,,,"verb","hif hit piel qal","be strong, grow strong",,,,"Mitchel_Sec2.C (309-270)",,,,"hi: seize, grasp; qal: be strong, become strong;","hi: agarrar; qal: fortalecer-se; ","hi: seize, grasp; qal: be strong, become strong; ni: ; pi: ; pu: ; hit: ; ho: ; hst: ","hi: agarrar; qal: fortalecer-se; ni: ; pi: ; pu: ; hit: ; ho: ; hst: ","H=6","be strong, become strong","fortalecer-se",,,,,,,,,"seize, grasp","agarrar",,,,,,,,,,
"sec0708",173,288,3653,"KRT[","כרת",,"ii-guttural",,,"verb","hif hof nif pual qal","cut off, cut down, arrange",,,,"Mitchel_Sec2.C (309-270)",,,,"qal: cut off; make (a covenant); ni: be cut off, be exterminated; pu: be cut down, be cut off; hi: cut off, destroy; ho: be cut off ","qal: cortar; ni: XXX; pu: XXX; hi: XXX; ho: XXX; ","qal: cut off; make (a covenant); ni: be cut off, be exterminated; pi: ; pu: be cut down, be cut off; hit: ; hi: cut off, destroy; ho: be cut off; hst: ","qal: cortar; ni: XXX; pi: ; pu: XXX; hit: ; hi: XXX; ho: XXX; hst: ","Q=1","cut off; make (a covenant)","cortar","be cut off, be exterminated","XXX",,,"be cut down, be cut off","XXX",,,"cut off, destroy","XXX","be cut off","XXX",,,,,,,,
"sec0716",174,288,5510,"<BD[","עבד","i-guttural",,,,"verb","hif hof nif pual qal","work, till, serve",,,,"Mitchel_Sec2.C (309-270)",,"serve",,"qal: serve;","qal: servo; ","qal: serve; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: servo; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","serve","servo",,,,,,,,,,,,,,,,,,,,
